lat,lon,type
26.6385811,-80.2567418,tree
26.9268745,-80.0893693,tree
26.9265397,-80.0897824,tree
26.9271159,-80.0894981,tree
26.9271949,-80.09041,tree
26.9267789,-80.0899648,tree
26.8283965,-80.045304,tree
26.3728413,-80.1069508,tree
26.3728413,-80.1068935,tree
26.3727899,-80.1067966,tree
26.3727943,-80.1067304,tree
26.3728094,-80.1071229,tree
26.3727881,-80.1070378,tree
26.3728014,-80.1070823,tree
26.372843,-80.1067699,tree
26.3728439,-80.1067086,tree
26.3728422,-80.1066444,tree
26.3727917,-80.1065554,tree
26.3728422,-80.106592,tree
26.3737162,-80.107219,tree
26.3736266,-80.1072535,tree
26.3735255,-80.1072917,tree
26.3734245,-80.1073172,tree
26.3733446,-80.1073318,tree
26.394398,-80.0977251,tree
26.3944028,-80.097595,tree
26.3940419,-80.1001345,tree
26.3940696,-80.100013,tree
26.3940973,-80.0999026,tree
26.3742752,-80.1031457,tree
26.3742805,-80.1032534,tree
26.3745001,-80.1031496,tree
26.3743903,-80.1031466,tree
26.3743938,-80.1029341,tree
26.3745019,-80.1029321,tree
26.3741724,-80.1032554,tree
26.374176,-80.1031496,tree
26.3740546,-80.1029282,tree
26.3740617,-80.1030359,tree
26.3745001,-80.1032524,tree
26.3743894,-80.1032564,tree
26.3741706,-80.103034,tree
26.3742849,-80.1030419,tree
26.3739483,-80.103144,tree
26.3739528,-80.1032503,tree
26.3740617,-80.103144,tree
26.3740626,-80.1032513,tree
26.3743956,-80.103029,tree
26.3745033,-80.1030324,tree
26.3725183,-80.1003132,tree
26.3712107,-80.1009098,tree
26.369447,-80.0978033,tree
26.3694485,-80.098257,tree
26.3694497,-80.0979498,tree
26.3694506,-80.0981055,tree
26.3694904,-80.0985043,tree
26.3694935,-80.097886,tree
26.369495,-80.0983397,tree
26.3694962,-80.0980325,tree
26.3694971,-80.0981882,tree
26.369501,-80.0977314,tree
26.3711342,-80.1003122,tree
26.371138,-80.100245,tree
26.3711457,-80.1003894,tree
26.3712034,-80.1000878,tree
26.3712052,-80.1002274,tree
26.3712057,-80.100309,tree
26.3712061,-80.1003811,tree
26.3712066,-80.1004627,tree
26.3712093,-80.1006745,tree
26.3712098,-80.1007561,tree
